,0
0,"VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)"
1,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS
2,"VENTA AL POR MENOR EN COMERCIOS ESPECIALIZADOS DE HUEVOS, CONFITES Y PRODUCTOS ALIMENTICIOS N.C.P."
3,VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS (ALMACENES PEQUEÃ‘OS Y MINIMARKET)
4,ACTIVIDADES DE RESIDENCIALES PARA ESTUDIANTES Y TRABAJADORES
5,TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VIA LOCOMOCION COLECTIVA
6,"PESCA MARITIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORIA"
7,"CULTIVO, REPRODUCCION Y MANEJO DE ALGAS MARINAS"
8,OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VIA TERRESTRE N.C.P.
9,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)"
10,"REPRODUCCION Y CRIA DE MOLUSCOS, CRUSTACEOS Y GUSANOS MARINOS"
11,PESCA MARITIMA ARTESANAL
12,TRANSPORTE DE PASAJEROS POR VIAS DE NAVEGACION INTERIORES
13,SERVICIOS RELACIONADOS CON LA ACUICULTURA MARINA
14,ELABORACION Y PROCESAMIENTO DE ALGAS
15,ELABORACION Y CONSERVACION DE SALMONIDOS
16,RECOLECCION Y EXTRACCION DE PRODUCTOS MARINOS
17,"VENTA AL POR MENOR EN COMERCIOS ESPECIALIZADOS DE PESCADO, MARISCOS Y PRODUCTOS CONEXOS"
18,"ELABORACION Y CONSERVACION DE OTROS PESCADOS, EN PLANTAS EN TIERRA (EXCEPTO BARCOS FACTORIA)"
19,PESCA DE AGUA DULCE
20,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO
21,SERVICIOS RELACIONADOS CON LA PESCA MARITIMA
22,ACUICULTURA DE AGUA DULCE
23,CULTIVO Y CRIANZA DE PECES MARINOS
24,TRANSPORTE DE CARGA MARITIMO Y DE CABOTAJE
25,"ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCION E ING. CIVIL, SIN OPERARIOS"
26,"REPARACION DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES"
27,TRANSPORTE DE CARGA POR VIAS DE NAVEGACION INTERIORES
28,"VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS"
29,PRODUCCION DE HARINA DE PESCADO
30,SERVICIOS DE TRANSPORTE DE TRABAJADORES
31,REPARACION DE MAQUINARIA AGROPECUARIA Y FORESTAL
32,VENTA AL POR MENOR DE ARTICULOS DE CAZA Y PESCA EN COMERCIOS ESPECIALIZADOS
33,"ELABORACION Y CONSERVACION DE CRUSTACEOS, MOLUSCOS Y OTROS PRODUCTOS ACUATICOS, EN PLANTAS EN TIERRA"
34,FABRICACION DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO
